date,tmin
2018-04-01,-7.5499997
2018-04-02,-7.47
2018-04-03,-5.9
2018-04-04,-12.67
2018-04-05,-12.33
2018-04-06,-4.1
2018-04-07,-10.58
2018-04-08,-9.28
2018-04-09,-3.58
2018-04-10,-4.0699997
2018-04-11,-1.8
2018-04-12,0.63
2018-04-13,1.68
2018-04-14,0.77
2018-04-15,-6.14
2018-04-16,-7.7599998
2018-04-17,-7.39
2018-04-18,-5.4
2018-04-19,-4.93
2018-04-20,-4.27
2018-04-21,-1.64
2018-04-22,3.55
2018-04-23,3.3999999
2018-04-24,4.52
2018-04-25,2.96
2018-04-26,2.1299999
2018-04-27,2.6299999
2018-04-28,1.76
2018-04-29,1.14
2018-04-30,4.25
2018-05-01,13.45
2018-05-02,11.309999
2018-05-03,9.84
2018-05-04,10.389999
2018-05-05,9.96
2018-05-06,11.24
2018-05-07,8.72
2018-05-08,11.2699995
2018-05-09,12.69
2018-05-10,10.79
2018-05-11,9.179999
2018-05-12,7.5
2018-05-13,7.6
2018-05-14,9.49
2018-05-15,12.74
2018-05-16,11.719999
2018-05-17,13.09
2018-05-18,13.349999
2018-05-19,13.84
2018-05-20,10.389999
2018-05-21,10.69
2018-05-22,11.349999
2018-05-23,13.04
2018-05-24,17.56
2018-05-25,19.1
2018-05-26,17.05
2018-05-27,16.91
2018-05-28,20.52
2018-05-29,18.779999
2018-05-30,17.32
2018-05-31,17
2018-06-01,17.83
2018-06-02,16.92
2018-06-03,13.13
2018-06-04,10.58
2018-06-05,13.809999
2018-06-06,18.14
2018-06-07,17.63
2018-06-08,18.64
2018-06-09,19.55
2018-06-10,18.66
2018-06-11,17.449999
2018-06-12,17.52
2018-06-13,13.4
2018-06-14,15.049999
2018-06-15,16.01
2018-06-16,22.6
2018-06-17,23.26
2018-06-18,21.789999
2018-06-19,20.38
2018-06-20,19.05
2018-06-21,17.529999
2018-06-22,14.73
2018-06-23,14.33
2018-06-24,16.9
2018-06-25,17.359999
2018-06-26,16.55
2018-06-27,16.97
2018-06-28,18.01
2018-06-29,20.77
2018-06-30,22.519999
2018-07-01,20.24
2018-07-02,16.279999
2018-07-03,18.609999
2018-07-04,20.63
2018-07-05,19.74
2018-07-06,15.599999
2018-07-07,16.3
2018-07-08,16.35
2018-07-09,17.71
2018-07-10,19.14
2018-07-11,20.859999
2018-07-12,22.08
2018-07-13,21.77
2018-07-14,21.05
2018-07-15,19.77
2018-07-16,18.539999
2018-07-17,16.51
2018-07-18,16.369999
2018-07-19,18.949999
2018-07-20,18.939999
2018-07-21,17.44
2018-07-22,16.35
2018-07-23,16.15
2018-07-24,15.349999
2018-07-25,15.11
2018-07-26,14.389999
2018-07-27,12.099999
2018-07-28,12.349999
2018-07-29,12.78
2018-07-30,13.0199995
2018-07-31,13.36
2018-08-01,13.4
2018-08-02,12.83
2018-08-03,14.099999
2018-08-04,16.16
2018-08-05,18.39
2018-08-06,18.279999
2018-08-07,18.33
2018-08-08,14.91
2018-08-09,15.71
2018-08-10,17.31
2018-08-11,16.17
2018-08-12,16.5
2018-08-13,17.26
2018-08-14,17.73
2018-08-15,18.67
2018-08-16,18.74
2018-08-17,17.869999
2018-08-18,16.08
2018-08-19,16.609999
2018-08-20,17.99
2018-08-21,15.719999
2018-08-22,11.889999
2018-08-23,11.74
2018-08-24,13.11
2018-08-25,16.59
2018-08-26,17.19
2018-08-27,20.279999
2018-08-28,21.25
2018-08-29,10.8
2018-08-30,11.3
2018-08-31,12.37
2018-09-01,19.71
2018-09-02,18.9
2018-09-03,19.23
2018-09-04,19.83
2018-09-05,19.4
2018-09-06,12.58
2018-09-07,13.2699995
2018-09-08,10.65
2018-09-09,9.66
2018-09-10,9.17
2018-09-11,10.219999
2018-09-12,14.07
2018-09-13,15.28
2018-09-14,16.41
2018-09-15,18.15
2018-09-16,18.44
2018-09-17,18.55
2018-09-18,18.8
2018-09-19,16.43
2018-09-20,17.83
2018-09-21,13.2699995
2018-09-22,5.0899997
2018-09-23,5.6
2018-09-24,9.44
2018-09-25,11.389999
2018-09-26,6.7799997
2018-09-27,7.23
2018-09-28,7.99
2018-09-29,2.69
2018-09-30,5.06
2018-10-01,7.31
2018-10-02,8.7
2018-10-03,8.78
2018-10-04,2.1299999
2018-10-05,2.53
2018-10-06,7.72
2018-10-07,6.2
2018-10-08,6.81
2018-10-09,11.11
2018-10-10,9.46
2018-10-11,1.8199999
2018-10-12,-0.62
2018-10-13,1.18
2018-10-14,2.84
2018-10-15,-0.55
2018-10-16,-0.48999998
2018-10-17,0.38
2018-10-18,0.08
2018-10-19,2.97
2018-10-20,5.3199997
2018-10-21,-4.2799997
2018-10-22,-2.08
2018-10-23,-1.67
2018-10-24,-2.37
2018-10-25,-1.8
2018-10-26,4.13
2018-10-27,1.11
2018-10-28,1.16
2018-10-29,-0.52
2018-10-30,-0.53
2018-10-31,0.85999995
2018-11-01,-1.0799999
2018-11-02,-1.18
2018-11-03,2.59
2018-11-04,3.56
2018-11-05,2.1
2018-11-06,2.82
2018-11-07,-2.48
2018-11-08,-2.78
2018-11-09,-5.35
2018-11-10,-13.28
2018-11-11,-12.74
2018-11-12,-8.16
2018-11-13,-13.41
2018-11-14,-13.429999
2018-11-15,-5.95
2018-11-16,-4.58
2018-11-17,-4.46
2018-11-18,-16.47
2018-11-19,-14.13
2018-11-20,-11.25
2018-11-21,-11.139999
2018-11-22,-7.5099998
2018-11-23,-2.51
2018-11-24,0.25
2018-11-25,-2.1599998
2018-11-26,-10.07
2018-11-27,-12.88
2018-11-28,-12.46
2018-11-29,-7.81
2018-11-30,-7.94